0,1,1,1
16,14,14,14
32,28,28,28
48,47,47,47
64,60,60,60
80,74,74,74
96,93,93,93
112,107,107,107
128,121,121,121
144,135,135,135
160,155,155,155
176,168,168,168
192,181,181,181
208,200,200,200
224,214,214,214
240,233,233,233
256,247,247,247
272,261,261,261
288,279,279,279
304,293,293,293
320,307,307,307
336,326,326,326
352,340,340,340
368,354,354,345
384,372,372,372
400,386,386,386
416,400,400,400
432,412,422,410
448,433,433,433
464,451,451,451
480,465,465,465
496,473,483,471
512,498,499,489
528,512,512,512
544,530,530,530
560,538,548,536
576,558,559,550
592,577,577,577
608,591,592,582
624,605,605,605
640,624,624,615
656,637,637,637
672,656,657,648
688,663,673,662
704,689,689,680
720,703,703,694
736,710,720,708
752,729,739,727
768,749,750,741
784,756,766,755
800,775,785,773
816,796,796,787
832,808,818,806
848,828,829,820
864,840,850,838
880,854,864,852
896,868,878,866
912,887,897,885
928,901,911,899
944,919,929,917
960,933,943,931
976,959,959,950
992,973,973,964
1008,980,990,978
1023,1005,1005,1005
