0,0,0,0
16,9,9,9
32,28,28,28
48,47,47,47
64,60,60,60
80,74,74,74
96,93,93,93
112,107,107,107
128,121,121,121
144,140,140,140
160,154,154,154
176,168,168,168
192,186,186,186
208,200,200,200
224,214,214,214
240,233,233,233
256,247,247,247
272,261,261,261
288,279,279,279
304,293,293,293
320,312,312,312
336,326,326,326
352,340,340,340
368,358,358,358
384,372,372,372
400,386,386,386
416,405,405,405
432,419,419,419
448,437,437,437
464,451,451,451
480,465,465,465
496,484,484,484
512,498,498,498
528,517,517,517
544,530,530,530
560,544,544,544
576,563,563,563
592,577,577,577
608,596,596,596
624,610,610,610
640,625,625,625
656,642,642,642
672,656,656,656
688,675,675,675
704,689,689,689
720,703,703,703
736,721,721,721
752,735,735,735
768,754,754,754
784,768,768,768
800,786,786,786
816,800,800,800
832,814,814,814
848,833,833,833
864,847,847,847
880,865,865,865
896,879,879,879
912,898,898,898
928,912,912,912
944,926,926,926
960,945,945,945
976,959,959,959
992,977,977,977
1008,991,991,991
1023,1005,1005,1005
