No,ref_x,ref_y,ref_Y,x,y,Y,diff_x,diff_y,diff_Y
0,0.40034267533564794,0.358395528822419,0.10004314904901833,0.3950144308259638,0.36463997135623855,0.10150745901639345,0.00532824450968411,-0.006244442533819561,-0.0014643099673751214
1,0.3876832294685742,0.3535101571694068,0.34721707130770607,0.38306349282601,0.35912518982782954,0.35013511475409836,0.0046197366425642095,-0.005615032658422725,-0.0029180434463922933
2,0.24564793870287263,0.26646779586295116,0.1850434005103604,0.2438726624103068,0.26963444788815505,0.18621719672131148,0.001775276292565825,-0.0031666520252038866,-0.0011737962109510947
3,0.3421046234230398,0.4297661343582058,0.13218328725913034,0.33828230216554234,0.4338288229905748,0.13317490163934426,0.003822321257497485,-0.0040626886323689715,-0.0009916143802139177
4,0.26685932185493527,0.2527083201617658,0.23173762483579657,0.264656029014685,0.25581649991183303,0.23397516393442622,0.0022032928402502816,-0.0031081797500672192,-0.002237539098629643
5,0.2559671009806694,0.3562684033461468,0.4197130455964393,0.2543579718725029,0.3595898877640163,0.42399640983606557,0.0016091291081664627,-0.0033214844178695024,-0.004283364239626275
6,0.5102448828710143,0.4018780204658818,0.3071386826806768,0.5053058754392061,0.41030358520876636,0.3108319180327869,0.004939007431808196,-0.008425564742884584,-0.0036932353521101358
7,0.20456721622639115,0.17974926378600994,0.11481768181864038,0.20372817487338665,0.18173097013736225,0.11629172131147542,0.0008390413530044993,-0.001981706351352308,-0.001474039492835033
8,0.4695295580164727,0.3112463623712632,0.19089959561358105,0.4640380758442397,0.3182577782181149,0.1929464754098361,0.005491482172233053,-0.007011415846851721,-0.0020468797962550356
9,0.2948846316869658,0.2188605894688339,0.0639013225919684,0.29171316237758854,0.22286756638046568,0.06496483606557377,0.003171469309377284,-0.0040069769116317655,-0.0010635134736053653
10,0.3748765407451639,0.4922454986011077,0.44265297243363017,0.36950396868591834,0.49843226524180473,0.44664163934426226,0.005372572059245573,-0.006186766640697006,-0.003988666910632099
11,0.47629527669378086,0.44022638498998473,0.4306927834858446,0.4710449977980178,0.4487909737451153,0.43737777049180326,0.005250278895763072,-0.008564588755130553,-0.006684987005958654
12,0.1805215512502127,0.14263986066084183,0.05926668753098106,0.18036193691481658,0.14507000341551582,0.060027344262295085,0.00015961433539610215,-0.002430142754673986,-0.0007606567313140217
13,0.2992426783062287,0.48264113334273373,0.2318426168645224,0.2963762708605527,0.48531346771068434,0.2332905737704918,0.0028664074456760114,-0.002672334367950613,-0.0014479569059694108
14,0.5449674671940867,0.3212602086367201,0.12300784419571001,0.538782407730791,0.32993754320442137,0.12404880327868852,0.006185059463295728,-0.008677334567701256,-0.001040959082978507
15,0.45040535304137036,0.47221322334166466,0.5926147095110404,0.4453973163370257,0.48006405927601226,0.5981783278688525,0.005008036704344687,-0.0078508359343476,-0.00556361835781205
16,0.3761579742259183,0.24386296604424207,0.19942902890548989,0.37167001288909035,0.24885230239562448,0.20090570491803278,0.004487961336827939,-0.004989336351382406,-0.0014766760125428935
17,0.20702341175516478,0.26528428231859325,0.2052774518709833,0.20602758070209679,0.2671919998554358,0.20676257377049181,0.000995831053067997,-0.0019077175368425459,-0.0014851218995085014
18,0.3139630873871606,0.3314834535141697,0.9129241109375164,0.31011733389234203,0.3358232156650636,0.9198071475409836,0.0038457534948185823,-0.004339762150893933,-0.00688303660346723
19,0.3110528037852248,0.32873234773203014,0.5894597055881561,0.3080495980223666,0.33282322337142983,0.5957795245901639,0.00300320576285823,-0.004090875639399694,-0.006319819002007843
20,0.31026425213448927,0.3283375576828032,0.3632314226370911,0.30636313021714756,0.33291379302226076,0.36740427868852454,0.00390112191734171,-0.004576235339457557,-0.004172856051433471
21,0.3116031753623214,0.3282676120111517,0.19147911656392647,0.308583452108031,0.33220107995364556,0.19336062295081966,0.0030197232542903962,-0.0039334679424938845,-0.0018815063868931892
22,0.3071117757221561,0.32465175602028423,0.08834589674298668,0.30342084414855197,0.32881123712466936,0.08961511475409836,0.003690931573604117,-0.004159481104385132,-0.0012692180111116835
23,0.3075207962265466,0.32356697668427986,0.031113692599104355,0.3039515459418253,0.32796957118372877,0.032104360655737706,0.003569250284721326,-0.004402594499448909,-0.0009906680566333509
